Final Report
Total parcels processed: 205
Busiest destination: bursa
Longest delayed parcel: P27-0784 Delay: -1 ticks
Remaining in Queue: 0
Remaining in ReturnStack: 0
Remaining in BST: 72

Parcel Tracker's Records
ParcelID: P32-2265, Status: Dispatched, Return Count: 0, Dispatch Tick: 84
ParcelID: P52-0206, Status: Dispatched, Return Count: 0, Dispatch Tick: 98
ParcelID: P46-0249, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P42-2782, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P19-1873, Status: Dispatched, Return Count: 0, Dispatch Tick: 30
ParcelID: P15-0210, Status: Dispatched, Return Count: 0, Dispatch Tick: 46
ParcelID: P100-1266, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P93-28, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P84-2211, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P83-0223, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P68-0149, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P35-246, Status: Dispatched, Return Count: 0, Dispatch Tick: 79
ParcelID: P31-0530, Status: Dispatched, Return Count: 0, Dispatch Tick: 93
ParcelID: P77-1202, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P94-2391, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P58-0478, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P35-118, Status: Dispatched, Return Count: 0, Dispatch Tick: 78
ParcelID: P31-2396, Status: Dispatched, Return Count: 0, Dispatch Tick: 50
ParcelID: P30-0489, Status: Dispatched, Return Count: 0, Dispatch Tick: 81
ParcelID: P94-0806, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P91-1952, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P79-21, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P39-1859, Status: Dispatched, Return Count: 0, Dispatch Tick: 63
ParcelID: P34-1421, Status: Sorted, Return Count: 1, Dispatch Tick: -1
ParcelID: P28-0122, Status: Dispatched, Return Count: 0, Dispatch Tick: 53
ParcelID: P1-0565, Status: Dispatched, Return Count: 0, Dispatch Tick: 21
ParcelID: P92-0276, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P49-1871, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P5-0515, Status: Dispatched, Return Count: 0, Dispatch Tick: 19
ParcelID: P86-1936, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P61-1939, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P60-081, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P54-2224, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P22-182, Status: Dispatched, Return Count: 0, Dispatch Tick: 49
ParcelID: P10-0660, Status: Dispatched, Return Count: 1, Dispatch Tick: 32
ParcelID: P99-1438, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P87-1198, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P30-1554, Status: Sorted, Return Count: 1, Dispatch Tick: -1
ParcelID: P27-0784, Status: Dispatched, Return Count: 0, Dispatch Tick: 91
ParcelID: P14-0809, Status: Dispatched, Return Count: 0, Dispatch Tick: 33
ParcelID: P12-1710, Status: Dispatched, Return Count: 0, Dispatch Tick: 43
ParcelID: P78-2305, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P21-0259, Status: Dispatched, Return Count: 0, Dispatch Tick: 39
ParcelID: P12-299, Status: Dispatched, Return Count: 0, Dispatch Tick: 15
ParcelID: P28-2530, Status: Sorted, Return Count: 1, Dispatch Tick: -1
ParcelID: P17-0435, Status: Dispatched, Return Count: 0, Dispatch Tick: 45
ParcelID: P91-029, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P57-162, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P41-0695, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P31-1970, Status: Dispatched, Return Count: 0, Dispatch Tick: 62
ParcelID: P23-0510, Status: Dispatched, Return Count: 0, Dispatch Tick: 58
ParcelID: P86-0438, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P53-0681, Status: Dispatched, Return Count: 0, Dispatch Tick: 99
ParcelID: P41-1746, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P39-0452, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P25-0709, Status: Sorted, Return Count: 1, Dispatch Tick: -1
ParcelID: P97-2820, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P90-2827, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P16-0676, Status: Dispatched, Return Count: 0, Dispatch Tick: 29
ParcelID: P93-1149, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P93-0177, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P89-0275, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P67-0864, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P28-1969, Status: Dispatched, Return Count: 0, Dispatch Tick: 92
ParcelID: P84-0938, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P82-1506, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P66-0206, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P42-1823, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P84-166, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P76-0415, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P58-1393, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P16-2581, Status: Dispatched, Return Count: 0, Dispatch Tick: 35
ParcelID: P44-0226, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P37-0954, Status: Dispatched, Return Count: 0, Dispatch Tick: 74
ParcelID: P19-0994, Status: Dispatched, Return Count: 0, Dispatch Tick: 47
ParcelID: P2-0994, Status: Dispatched, Return Count: 0, Dispatch Tick: 16
ParcelID: P69-2819, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P21-1212, Status: Dispatched, Return Count: 0, Dispatch Tick: 57
ParcelID: P6-1385, Status: Dispatched, Return Count: 0, Dispatch Tick: 23
ParcelID: P80-0215, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P40-2749, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P8-0202, Status: Dispatched, Return Count: 0, Dispatch Tick: 12
ParcelID: P4-1304, Status: Dispatched, Return Count: 0, Dispatch Tick: 4
ParcelID: P61-0495, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P38-0181, Status: Sorted, Return Count: 1, Dispatch Tick: -1
ParcelID: P33-1365, Status: Dispatched, Return Count: 0, Dispatch Tick: 76
ParcelID: P23-1294, Status: Dispatched, Return Count: 0, Dispatch Tick: 40
ParcelID: P86-212, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P82-0711, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P81-0299, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P79-1598, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P68-1202, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P55-0779, Status: Dispatched, Return Count: 0, Dispatch Tick: 90
ParcelID: P41-2538, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P79-066, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P75-0882, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P62-0365, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P32-193, Status: Dispatched, Return Count: 0, Dispatch Tick: 71
End
